id,time,allocated,idle,other,total
1,2021-03-10 18:10:24,8363,5069,128,13560
2,2021-03-10 18:10:29,8362,5070,128,13560
3,2021-03-10 18:10:34,8441,4991,128,13560
4,2021-03-10 18:10:39,8441,4991,128,13560
5,2021-03-10 18:27:15,8354,5078,128,13560
6,2021-03-10 18:42:15,8304,5128,128,13560
7,2021-03-10 18:57:15,8231,5201,128,13560
8,2021-03-10 19:12:15,8236,5196,128,13560
9,2021-03-10 19:27:15,8083,5349,128,13560
10,2021-03-10 19:42:15,8075,5357,128,13560
11,2021-03-10 19:57:15,7968,5464,128,13560
12,2021-03-10 20:12:15,7824,5608,128,13560
13,2021-03-10 20:27:15,7863,5569,128,13560
14,2021-03-10 20:42:15,7799,5633,128,13560
15,2021-03-10 20:57:15,7754,5678,128,13560
16,2021-03-10 21:12:15,7671,5761,128,13560
17,2021-03-10 21:27:15,7648,5784,128,13560
18,2021-03-10 21:42:15,7791,5641,128,13560
19,2021-03-10 21:57:15,7754,5678,128,13560
20,2021-03-10 22:53:14,7853,5579,128,13560
21,2021-03-10 22:53:23,7853,5579,128,13560
22,2021-03-10 22:53:32,7853,5579,128,13560
23,2021-03-10 22:53:41,7853,5579,128,13560
24,2021-03-10 22:56:54,7763,5669,128,13560
25,2021-03-10 22:57:27,7761,5671,128,13560
26,2021-03-10 23:12:27,7618,5814,128,13560
27,2021-03-10 23:27:27,8215,5217,128,13560
28,2021-03-10 23:42:27,7739,5693,128,13560
29,2021-03-10 23:57:27,7996,5436,128,13560
30,2021-03-11 00:12:27,7788,5644,128,13560
31,2021-03-11 00:27:27,8013,5419,128,13560
32,2021-03-11 00:42:27,7994,5438,128,13560
33,2021-03-11 00:57:27,7771,5661,128,13560
34,2021-03-11 01:12:27,7709,5723,128,13560
35,2021-03-11 01:27:27,7675,5757,128,13560
36,2021-03-11 01:42:27,7520,5912,128,13560
37,2021-03-11 01:57:27,7496,5936,128,13560
38,2021-03-11 02:12:27,7536,5896,128,13560
39,2021-03-11 02:27:27,7358,6074,128,13560
40,2021-03-11 02:42:27,7374,6058,128,13560
41,2021-03-11 02:57:27,7308,6124,128,13560
42,2021-03-11 03:12:27,7044,6388,128,13560
43,2021-03-11 03:27:27,7016,6416,128,13560
44,2021-03-11 03:42:27,6808,6624,128,13560
45,2021-03-11 03:57:27,6665,6767,128,13560
46,2021-03-11 04:12:28,6676,6756,128,13560
47,2021-03-11 04:27:28,6676,6756,128,13560
48,2021-03-11 04:42:28,6694,6738,128,13560
49,2021-03-11 04:57:28,6575,6857,128,13560
50,2021-03-11 05:12:28,6571,6861,128,13560
51,2021-03-11 05:27:28,6462,6970,128,13560
52,2021-03-11 05:42:28,6416,7016,128,13560
53,2021-03-11 05:57:28,6395,7037,128,13560
54,2021-03-11 06:12:28,6360,7072,128,13560
55,2021-03-11 06:27:28,6402,7030,128,13560
56,2021-03-11 06:42:28,6356,7076,128,13560
57,2021-03-11 06:57:28,6315,7117,128,13560
58,2021-03-11 07:12:28,6370,7062,128,13560
59,2021-03-11 07:27:28,6339,7093,128,13560
60,2021-03-11 07:42:28,6338,7094,128,13560
61,2021-03-11 07:57:28,6229,7203,128,13560
62,2021-03-11 08:12:28,6914,6518,128,13560
63,2021-03-11 08:27:28,7130,6302,128,13560
64,2021-03-11 08:42:28,6829,6603,128,13560
65,2021-03-11 08:57:28,7042,6390,128,13560
66,2021-03-11 09:12:28,7132,6300,128,13560
